Song_Name,Album_name,Artist_name,Album_album_type,Album_id,Album_image,Album_label,Album_popularity,Album_release,Album_total_tracks,Artist_followers,Artist_genres,Artist_id,Artist_images,Artist_popularity,Song_Explicit,Song_Top_Tags_lfm,Song_acousticness,Song_danceability,Song_duration_ms,Song_energy,Song_id,Song_instrumentalness,Song_key,Song_liveness,Song_loudness,Song_mode,Song_popularity,Song_speechiness,Song_tempo,Song_time_signature,Song_track_number,Song_valence,Artist_image
Adoleta Com Força - Ao Vivo,O Pai dos Paredões (Ao Vivo),Robyssão,album,5ikewMtyI7EzjLJH1HDuhT,https://i.scdn.co/image/ab67616d0000b273c919b95dd45c046b6cfdcaab,FORTE APACHE GRAVADORA,49,2021-09-08,10,14904,['arrochadeira'],3GUS6Ig4ME5P1E0fGDwxEN,,42,True,,0.423,0.833,148979,0.91,2JUwqCtIAxulY8gB57mnJW,0.00247,4,0.104,-4.248,1,47,0.0468,143.041,4,1,0.908,https://i.scdn.co/image/ab6761610000e5ebb7974a499a06a0e024f2c514
Senta na 9,Senta na 9,MC 7Kssio,single,7JV0xZyNSa3jaOPJq2xk1Q,https://i.scdn.co/image/ab67616d0000b27343fe18f760e8bc16481e22da,Essaéhit,44,2021-08-27,1,27057,['batidao romantico'],13OD4pfcRRNPcYgJmS81NZ,,44,False,,0.188,0.67,169352,0.915,3I5cqbpLjomtUqM025afnl,0.000467,9,0.124,-3.31,0,51,0.0817,137.526,4,1,0.847,https://i.scdn.co/image/ab6761610000e5eb25503cdfe609646daf5afb99
Mete Fdp - Ao Vivo,Junho 2021 (Ao Vivo),O Erótico,album,2LvLpgtcZ4yfHvQrzBuIzI,https://i.scdn.co/image/ab67616d0000b2735171ed43616220f0f5667327,SOM Music Digital,36,2021-06-03,12,2453,[],41S9HR3EotaFgxGQwTGxAT,,29,True,,0.767,0.884,184529,0.732,72IjrcPVtSKf0OjWL5D0ps,0.046,9,0.0929,-6.139,0,42,0.0527,124.036,4,3,0.664,https://i.scdn.co/image/ab6761610000e5eb48d2b6394a211d8313238a89
Ficha Limpa,Só Pedrada 4.0 Meteorico,Thiago Aquino,album,6V3lE8JzjM0j731iAYdB7e,https://i.scdn.co/image/ab67616d0000b2732fb9b6151a27f2091023952d,thiago aquino,63,2021-07-08,27,58283,['arrocha'],7yPoxj2lXWy7J4ixQHVubk,,63,False,,0.471,0.701,187776,0.695,5lYgmo81rEyUpYRjN5r7ae,1.9e-05,8,0.37,-4.072,1,55,0.0822,134.87,4,3,0.674,https://i.scdn.co/image/ab67616d0000b27386f8735026b43898d58fe171
"Cidade Dos Poetas / Alegria, Alegria (Ao Vivo)",Jau Ao Vivo,Jau,album,5DsMgjUQ0C5cGb3MJ44L8y,https://i.scdn.co/image/ab67616d0000b273b8718eef097f9784a30ff82d,Gufo Records,50,2021-06-25,22,35397,['axe'],2UdpXNLGaH4hhgm9eus5wL,,49,False,,0.52,0.456,284768,0.586,5YkREdCi913vFoFF6xrMY3,0.000541,5,0.0962,-8.613,1,39,0.0338,112.086,4,3,0.545,https://i.scdn.co/image/ab6761610000e5eba98bc4c6f3d1f1ca9c6e9648
Tô Colocando - Ao Vivo,777 (Ao Vivo),O Kannalha,album,3IxjAVSuuPnASGbO18Ecjh,https://i.scdn.co/image/ab67616d0000b273b92f902c89ce49ee061778a6,AY entretenimento,55,2021-09-10,17,17992,[],074zrnA9SL424EnrYgoKmq,,50,True,,0.344,0.697,178250,0.682,2a7RlKO0qUYUXwq8EZyVQK,0.000442,7,0.0934,-5.296,1,51,0.0678,128.89,4,6,0.619,https://i.scdn.co/image/ab6761610000e5eb944d1f07d1fead982ccac78a
Goza Minha Mãe Ta Me Ligando,Goza Minha Mãe Ta Me Ligando,O MALVADO,single,6nVPJOxpPJkzrx0iRNZgKy,https://i.scdn.co/image/ab67616d0000b27350f84a41a5351ad741aaeece,Edjan,30,2021-07-19,1,2735,[],5WgeED8C4szYkqGdOg34HQ,,20,True,,0.589,0.889,144636,0.749,759GNQLNlI5Rj4aVAEoqON,0.0502,1,0.0911,-2.332,1,37,0.102,100.016,4,1,0.537,https://i.scdn.co/image/ab67616d0000b27350f84a41a5351ad741aaeece
Vulgo Malvadão,O Cria da Putaria,O CRIA DA PUTARIA,single,0fAGgh4CnoOeokrsXXkxOj,https://i.scdn.co/image/ab67616d0000b273287cb4cf9dd93a8d5e2a00e2,Essaéhit,33,2021-08-13,4,900,['arrochadeira'],5M50tZuruHG5RwPrxJFFvP,,24,True,,0.296,0.736,97083,0.737,1XFW2M0zNJLyuWZ6fm4BaQ,0.0,8,0.113,-0.196,0,39,0.199,105.385,4,1,0.877,https://i.scdn.co/image/ab67616d0000b273287cb4cf9dd93a8d5e2a00e2
Senta Na 9,Senta Na 9,MC Dede,single,0qNAmWqnVaOGFflGK5TBKx,https://i.scdn.co/image/ab67616d0000b273d036179430e29a70e92f673a,KondZilla,19,2021-09-29,1,1012753,"['funk carioca', 'funk ostentacao', 'funk paulista']",45Hr5etuwmSx4gSyn5qSeW,,49,False,,0.454,0.578,177231,0.894,3DxLGWmymBdmMFyggTeqlf,0.0,9,0.27,-3.24,1,26,0.308,135.794,4,1,0.743,https://i.scdn.co/image/ab6761610000e5eb758c5f1123d0444db52424a9
Teu Herói,EP Desbloqueado,Weliton O Gordinho,single,4cJho3oS63mlF1vvEXCfr6,https://i.scdn.co/image/ab67616d0000b273a3e7508d6a3f04ef58376a19,Sua Música,42,2021-06-25,5,21609,"['arrocha', 'batidao romantico', 'forro de favela']",6nGLbk2FTxxQnyy1EeKwFP,,35,False,,0.639,0.855,201129,0.556,3HOKRIHC9i80iSEP4PhWOg,1.5e-06,11,0.137,-6.799,0,48,0.0326,133.004,4,3,0.765,https://i.scdn.co/image/ab6761610000e5eb56861c819edc4cc812a63e2e
Larissinha,Larissinha,Tinho Pretinho,single,4B0GcMMqM9iLszeUhgZp2v,https://i.scdn.co/image/ab67616d0000b273128ca61234e91a0eacb30552,Tinho pretinho,39,2021-07-12,1,1508,[],3TbE50vYs5BxsSQNljSyuT,,30,True,,0.513,0.703,251969,0.62,2E4NsRnh9dkz6fEhCRsOrW,1.36e-05,9,0.108,-8.664,1,46,0.197,110.953,4,1,0.589,https://i.scdn.co/image/ab67616d0000b273128ca61234e91a0eacb30552
A Minha Vizinha,A Minha Vizinha,Swing do T10,single,4N5SCObRJmOvz0Vnl3hquA,https://i.scdn.co/image/ab67616d0000b2733146289260f552b0b27501de,AT MUSIC,38,2021-01-18,1,3298,['pagode baiano'],2EvJpjISn1Emk9OXpKzTLY,,31,False,,0.181,0.461,169796,0.738,1tFwTTNXedKURRMgowASQQ,0.252,4,0.205,-8.394,0,45,0.0521,152.367,4,1,0.849,https://i.scdn.co/image/ab6761610000e5eb1341b0a8e3308343074fe6ee
Amor e Ousadia,Empurra o Som,Parangolé,album,2t7EVKWeRL7bhHw3BBDwmm,https://i.scdn.co/image/ab67616d0000b273eacf59294f6bdfe1a06f6033,Parangolé,47,2021-09-17,7,402965,"['axe', 'forro', 'funk carioca', 'pagode', 'pagode baiano']",2v5eqze59fqRes2e5QVGhf,,65,True,,0.813,0.791,147627,0.912,0jBhutwtzHTN6QXFIRueMx,0.0,7,0.265,-2.801,1,50,0.122,99.935,4,1,0.634,https://i.scdn.co/image/ab6761610000e5eb789c5e848ebbb4adeb588de8
Proteção de Tela,Ensaio Setembro,Toque Dez,album,7gZwO8Tkn5F86ZbeefGRCg,https://i.scdn.co/image/ab67616d0000b273ac3a144a4ff3f41ec4d7223e,Toque dez,43,2021-09-16,18,91606,"['arrocha', 'forro']",6u3oPV9fJJnIOKvKMoROmG,,51,False,,0.666,0.73,216686,0.681,3pYcH7foO5wGtLioltGvUp,1.54e-06,1,0.223,-5.873,0,33,0.0376,135.977,4,5,0.7,https://i.scdn.co/image/ab6761610000e5eb5580e3d4dd0cef1304594b30
Kalifa,Tarja Preta,La Furia,single,6661bCd6rzjwTsKUJUCI66,https://i.scdn.co/image/ab67616d0000b2733634327642079d8585cad3c5,La Furia,39,2021-09-27,5,127018,"['arrochadeira', 'axe', 'brega funk', 'pagode baiano']",2q0Eox3ewRHGGlSOXnmC54,,43,True,,0.313,0.628,152311,0.918,3dWqL3QxvzivZApQhOiv8l,0.0,11,0.234,-2.417,0,41,0.117,127.421,4,1,0.878,https://i.scdn.co/image/ab6761610000e5eb0f377584dbe1b8942919e742
Escandurras In Samba,Escandurras In Samba,Filipe Escandurras,single,6ERkcvHez9DLw5szBSh2gt,https://i.scdn.co/image/ab67616d0000b273a37cd98dee6c0d516514ff0c,Siri Music,40,2021-08-29,1,18889,['pagode baiano'],0LzKJGPuCzCpzO1nzfasU4,,46,True,,0.469,0.658,646400,0.803,7n7rfMRSLcTbAHVndPmM61,0.0,4,0.258,-6.8,0,46,0.0943,179.663,4,1,0.707,https://i.scdn.co/image/ab6761610000e5ebed402fbb276899dc9a5fb24e
Quero Midia Quero @,Novas 2021,Banda a Revoada,single,5xuKBukpgjTyop46JQEdXz,https://i.scdn.co/image/ab67616d0000b273fca28941be73328c4f890313,BALA PRODUÇÕES,31,2021-05-06,3,1236,[],1VpaWzBXphOQqYnMATGtbd,,21,True,,0.199,0.818,136236,0.685,6p5JDtVnI7ENaUOJycKjk4,7.52e-05,4,0.376,-5.765,0,37,0.0632,99.979,4,1,0.587,https://i.scdn.co/image/ab67616d0000b273fca28941be73328c4f890313
